NAME;GROUP_COMMON_NAME;GROUP_SCIENTIFIC_NAME
Lepidolaenaceae;Mosses and liverworts ;Bryophytes
Lepidoziaceae;Mosses and liverworts ;Bryophytes
Leptodontaceae;Mosses and liverworts ;Bryophytes
Lepyrodontaceae;Mosses and liverworts ;Bryophytes
Leskeaceae;Mosses and liverworts ;Bryophytes
Leucodontaceae;Mosses and liverworts ;Bryophytes
Leucomiaceae;Mosses and liverworts ;Bryophytes
Lophocoleaceae;Mosses and liverworts ;Bryophytes
Lophoziaceae;Mosses and liverworts ;Bryophytes
Lunulariaceae;Mosses and liverworts ;Bryophytes
Makinoaceae;Mosses and liverworts ;Bryophytes
Marchantiaceae;Mosses and liverworts ;Bryophytes
Mastigophoraceae;Mosses and liverworts ;Bryophytes
Meesiaceae;Mosses and liverworts ;Bryophytes
Mesoptychiaceae;Mosses and liverworts ;Bryophytes
Meteoriaceae;Mosses and liverworts ;Bryophytes
Metzgeriaceae;Mosses and liverworts ;Bryophytes
Microtheciellaceae;Mosses and liverworts ;Bryophytes
Mitteniaceae;Mosses and liverworts ;Bryophytes
Mizutaniaceae;Mosses and liverworts ;Bryophytes
Mniaceae;Mosses and liverworts ;Bryophytes
Monocarpaceae;Mosses and liverworts ;Bryophytes
Monocleaceae;Mosses and liverworts ;Bryophytes
Monosoleniaceae;Mosses and liverworts ;Bryophytes
Myriniaceae;Mosses and liverworts ;Bryophytes
Myuriaceae;Mosses and liverworts ;Bryophytes
Neckeraceae;Mosses and liverworts ;Bryophytes
Neotrichocoleaceae;Mosses and liverworts ;Bryophytes
Notothyladaceae;Mosses and liverworts ;Bryophytes
Octoblepharaceae;Mosses and liverworts ;Bryophytes
Oedipodiaceae;Mosses and liverworts ;Bryophytes
Orthorrhynchiaceae;Mosses and liverworts ;Bryophytes
Orthotrichaceae;Mosses and liverworts ;Bryophytes
Oxymitraceae;Mosses and liverworts ;Bryophytes
Pallaviciniaceae;Mosses and liverworts ;Bryophytes
Pelliaceae;Mosses and liverworts ;Bryophytes
Phyllodrepaniaceae;Mosses and liverworts ;Bryophytes
Phyllogoniaceae;Mosses and liverworts ;Bryophytes
Pilotrichaceae;Mosses and liverworts ;Bryophytes
Plagiochilaceae;Mosses and liverworts ;Bryophytes
Plagiotheciaceae;Mosses and liverworts ;Bryophytes
Pleurophascaceae;Mosses and liverworts ;Bryophytes
Pleuroziaceae;Mosses and liverworts ;Bryophytes
Pleuroziopsaceae;Mosses and liverworts ;Bryophytes
Polytrichaceae;Mosses and liverworts ;Bryophytes
Porellaceae;Mosses and liverworts ;Bryophytes
Pottiaceae;Mosses and liverworts ;Bryophytes
Prionodontaceae;Mosses and liverworts ;Bryophytes
Pseudoditrichaceae;Mosses and liverworts ;Bryophytes
Pseudolepicoleaceae;Mosses and liverworts ;Bryophytes
Pterigynandraceae;Mosses and liverworts ;Bryophytes
Pterobryaceae;Mosses and liverworts ;Bryophytes
Ptilidiaceae;Mosses and liverworts ;Bryophytes
Ptychomitriaceae;Mosses and liverworts ;Bryophytes
Ptychomniaceae;Mosses and liverworts ;Bryophytes
Racopilaceae;Mosses and liverworts ;Bryophytes
Radulaceae;Mosses and liverworts ;Bryophytes
Regmatodontaceae;Mosses and liverworts ;Bryophytes
Rhabdoweisiaceae;Mosses and liverworts ;Bryophytes
Rhachitheciaceae;Mosses and liverworts ;Bryophytes
Rhacocarpaceae;Mosses and liverworts ;Bryophytes
Rhizogoniaceae;Mosses and liverworts ;Bryophytes
Ricciaceae;Mosses and liverworts ;Bryophytes
Riellaceae;Mosses and liverworts ;Bryophytes
Rigodiaceae;Mosses and liverworts ;Bryophytes
Rutenbergiaceae;Mosses and liverworts ;Bryophytes
Scapaniaceae;Mosses and liverworts ;Bryophytes
Schistochilaceae;Mosses and liverworts ;Bryophytes
Schistostegaceae;Mosses and liverworts ;Bryophytes
Scorpidiaceae;Mosses and liverworts ;Bryophytes
Seligeriaceae;Mosses and liverworts ;Bryophytes
Sematophyllaceae;Mosses and liverworts ;Bryophytes
Serpotortellaceae;Mosses and liverworts ;Bryophytes
Sorapillaceae;Mosses and liverworts ;Bryophytes
Sphaerocarpaceae;Mosses and liverworts ;Bryophytes
Sphagnaceae;Mosses and liverworts ;Bryophytes
Spiridentaceae;Mosses and liverworts ;Bryophytes
Splachnaceae;Mosses and liverworts ;Bryophytes
Splachnobryaceae;Mosses and liverworts ;Bryophytes
Stereophyllaceae;Mosses and liverworts ;Bryophytes
Takakiaceae;Mosses and liverworts ;Bryophytes
Targioniaceae;Mosses and liverworts ;Bryophytes
Tetraphidaceae;Mosses and liverworts ;Bryophytes
Thamnobryaceae;Mosses and liverworts ;Bryophytes
Theliaceae;Mosses and liverworts ;Bryophytes
Thuidiaceae;Mosses and liverworts ;Bryophytes
Timmiaceae;Mosses and liverworts ;Bryophytes
Trachypodaceae;Mosses and liverworts ;Bryophytes
Treubiaceae;Mosses and liverworts ;Bryophytes
Trichocoleaceae;Mosses and liverworts ;Bryophytes
Trichotemnomataceae;Mosses and liverworts ;Bryophytes
Vandiemeniaceae;Mosses and liverworts ;Bryophytes
Vetaformaceae;Mosses and liverworts ;Bryophytes
Viridivelleraceae;Mosses and liverworts ;Bryophytes
Wardiaceae;Mosses and liverworts ;Bryophytes
Wiesnerellaceae;Mosses and liverworts ;Bryophytes
